               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  60,            0.073921,           0.0042952,           0.0028582,             0.24426,             0.16374,             0.10614,             0.03881,            0.067984,             0.00227,           0.0022297,            0.004159,            0.004159,            0.004159
                  61,            0.073535,           0.0042642,           0.0028461,             0.17708,             0.16943,             0.07142,            0.023849,            0.068413,           0.0023359,           0.0021144,             0.00406,             0.00406,             0.00406
                  62,            0.073745,            0.004304,           0.0027743,             0.18854,             0.15877,             0.09628,            0.033119,            0.067643,           0.0023018,           0.0020776,            0.003961,            0.003961,            0.003961
                  63,            0.072648,           0.0041896,           0.0027676,             0.22269,             0.17465,             0.10014,            0.030466,            0.068478,           0.0022531,           0.0024712,            0.003862,            0.003862,            0.003862
                  64,            0.072849,           0.0043046,           0.0028116,               0.208,             0.16771,            0.098742,             0.03371,             0.06722,           0.0022958,           0.0020787,            0.003763,            0.003763,            0.003763
                  65,            0.072991,           0.0043483,           0.0028034,             0.18809,             0.16426,            0.088058,            0.026431,            0.067882,             0.00233,           0.0020547,            0.003664,            0.003664,            0.003664
                  66,            0.072176,           0.0042707,           0.0027469,             0.27053,             0.17234,             0.10952,            0.036084,            0.067658,           0.0022793,            0.002051,            0.003565,            0.003565,            0.003565
                  67,            0.072206,           0.0043023,           0.0027454,             0.20636,              0.2075,             0.10384,            0.032379,            0.066087,           0.0023586,           0.0021467,            0.003466,            0.003466,            0.003466
                  68,            0.072041,           0.0042097,           0.0028162,             0.27968,             0.19052,             0.13121,            0.044442,            0.067604,           0.0022698,           0.0019846,            0.003367,            0.003367,            0.003367
                  69,            0.072061,           0.0043223,            0.002756,             0.21652,             0.15031,            0.098344,            0.032325,            0.068582,           0.0022383,           0.0020861,            0.003268,            0.003268,            0.003268
                  70,            0.072627,           0.0043142,           0.0027178,              0.2294,             0.18535,             0.10973,            0.035189,            0.067468,           0.0022902,           0.0019544,            0.003169,            0.003169,            0.003169
                  71,            0.071553,           0.0043049,           0.0027127,             0.24093,             0.18192,             0.10605,             0.03318,            0.066133,            0.002362,           0.0020331,             0.00307,             0.00307,             0.00307
                  72,            0.071387,           0.0042911,           0.0027113,             0.21756,             0.18512,            0.094412,            0.031176,             0.06828,           0.0022962,           0.0020133,            0.002971,            0.002971,            0.002971
                  73,            0.071644,           0.0043644,           0.0027053,             0.26009,             0.17598,             0.12274,            0.042421,            0.065694,           0.0023157,            0.002058,            0.002872,            0.002872,            0.002872
                  74,            0.071426,           0.0043617,           0.0026631,             0.21809,             0.16942,             0.10221,            0.032985,            0.066553,           0.0022793,           0.0020701,            0.002773,            0.002773,            0.002773
                  75,             0.07116,           0.0043171,            0.002712,              0.2535,             0.19123,             0.12055,            0.040394,            0.066378,           0.0023221,           0.0019135,            0.002674,            0.002674,            0.002674
                  76,            0.070696,           0.0043895,           0.0026295,             0.30799,             0.18496,             0.14337,            0.050598,            0.065757,           0.0023676,           0.0018582,            0.002575,            0.002575,            0.002575
                  77,            0.070334,           0.0043186,           0.0026462,              0.2897,             0.19555,             0.13639,            0.044961,            0.065094,           0.0023124,           0.0020801,            0.002476,            0.002476,            0.002476
                  78,            0.070711,           0.0043499,           0.0026531,             0.24491,             0.19671,             0.12737,              0.0433,            0.064476,           0.0023436,           0.0020056,            0.002377,            0.002377,            0.002377
